"模型","准确率","敏感度","特异度","精确率","召回率","F1分数","平衡准确率","AUC"
"XGBoost",0.557692307692308,0.898773006134969,0.471228615863142,0.301130524152107,0.898773006134969,0.451116243264049,0.685000810999055,0.734314324151552
"随机森林",0.535359801488834,0.920245398773006,0.437791601866252,0.293255131964809,0.920245398773006,0.44477390659748,0.679018500319629,0.724119588966596
"逻辑回归",0.628411910669975,0.785276073619632,0.588646967340591,0.326114649681529,0.785276073619632,0.460846084608461,0.686961520480111,0.736756862483184
"集成模型",0.593052109181141,0.840490797546012,0.530326594090202,0.312072892938497,0.840490797546012,0.45514950166113,0.685408695818107,0.736899979963553
"集成模型",0.593052109181141,0.840490797546012,0.530326594090202,0.312072892938497,0.840490797546012,0.45514950166113,0.685408695818107,0.736899979963553
